ET0010351	Megenagna Gurd Shola
ET0010352	Kara Allo
ET0010353	Goro
ET0010354	Ayat Arabssa
ET0010355	Ayat 72
ET0010356	Kolfe Atena Tera
ET0010357	Bahir Dar Adet Tera
ET0010358	Motta
ET0010359	Olen Chiti
ET0010360	Garba Guracha
ET0010361	Golla
ET0010362	Mexico BR
ET0010363	Gara Duba BR
ET0010364	22 Megenagna
ET0010365	Tropical BR
ET0010366	Midregenet BR
ET0010367	Bore BR
ET0010368	Sheno BR
ET0010369	Jinka BR
ET0010370	Gesuba BR
ET0010371	Chencha BR
ET0010372	Bichena BR
ET0010373	Nib Halal Shashemene
ET0010374	Nib Halal Emana
ET0010375	Mismartera
ET0010376	BoleRwanda BR
ET0010377	Flamingo BR
ET0010378	Atse Zerayakob
ET0010379	Nib Halal Gubre Bilal
ET0010380	Digelu
ET0010381	Sealm Ber
ET0010382	Bele
ET0010383	Duberte
ET0010384	Summit CMC Adebabay
ET0010385	Kobbo
ET0010386	Tabor
ET0010387	Daye
ET0010388	Mechare
ET0010389	Chilot
ET0010390	Girar
ET0010391	Jati Kality
ET0010392	Birbir
ET0010393	Wolayta Sodo Meneharia
ET0010394	Sawula
ET0010395	Gojjam Berenda
ET0010396	Salo Gora
ET0010397	Mersa
ET0010398	Bahir Dar Tana
ET0010399	Ayat-Tafo
ET0010400	Moyale
ET0010401	Bishoftu Michael
ET0010402	Haik
ET0010403	Harar Ras
ET0010404	Summit Figa
ET0010405	Nib Halal Geija Sefer
ET0010406	Nib Halal Kolfe Efoyta
ET0010407	Tiyo Assela
ET0010408	Bombe
ET0010409	NIB Premium
ET0010410	Olympia
ET0010411	Wachemo University
ET0010412	Mekanisa Kore
ET0010413	Wollo Sefer Adebabay
ET0010414	Bishishe
ET0010415	Bedele
ET0010416	Mettu
ET0010417	Agaro
ET0010418	Nib Halal Tora
ET0010419	Aleta Chuko
ET0010420	Shecha
ET0010421	Modjo Derek Wodeb
ET0010422	Hirna
ET0010423	Bedessa
ET0010424	Shiro Meda
ET0010425	Ghion
ET0010426	NibHalal B.Dar Ramadan
ET0010427	Bole Jaefer Mesjid
ET0010428	Aman
ET0010429	Dodola
ET0010430	Melka Geferssa
ET0010431	Dukem Eastern Industry
ET0010432	Meti
ET0010433	Dimma
ET0010434	Wacha
ET0010435	Gelemso
ET0010436	Humbo
ET0010437	Chiro
ET0010438	Chora
ET0010439	Geda Branch
ET0010440	Efoyita
ET0010441	Legetafo
ET0010442	Nib Halal Hossana
ET0010443	Adilo
ET0010444	Nib Halal Areboch Tera
ET0010445	Sefera Atkilit Tera
ET0010446	Dejen
